,OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,GarageCars,GarageArea,SalePrice,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Utilities_AllPub,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLw,SaleType_New,SaleType_WD,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial
90,-1.53623423639433,-0.6450384163373718,-1.6086208384873086,-2.608724384991718,-0.32572550376729786,-0.9149061570193437,-1.0110580928718733,-1.5035177820675885,0.3194579580172113,-0.24286815675874185,-0.9214002118644955,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1412,-1.53623423639433,-0.677608227433777,-1.6086208384873086,-2.608724384991718,-0.32572550376729786,-0.9149061570193437,0.8001625397574951,-0.3056263977190594,0.3194579580172113,-0.24286815675874185,-1.1837600899811234,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
181,0.6992162471296453,-1.622132749229529,-1.6086208384873086,-0.6529138199368797,-0.7085469358687353,0.570092362590328,-1.0110580928718733,1.491210678803734,-1.0624935048127984,-1.2464873285800897,0.2677887834179086,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
875,1.4443664083043035,1.2114408161577268,1.0997788616576216,0.3114265721645602,0.07086648344570205,2.1447364621239435,0.8001625397574951,2.689102063152263,0.3194579580172113,0.3966930801862348,1.6307022065366346,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1151,-0.7910840752196716,-0.35191011646972464,-1.180978780569688,1.0069354994602278,0.8475257917378268,-0.08471013424543275,-1.0110580928718733,-0.3056263977190594,0.3194579580172113,0.28845964008785413,-0.3940436729366001,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
786,-0.7910840752196716,-1.784981804711555,-1.6086208384873086,-0.9168125973150231,-0.5295297194184228,0.2777698193600777,0.8001625397574951,0.29331929445520505,-1.0624935048127984,-0.2625469640493565,-0.5377483297944516,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
414,0.6992162471296453,0.7554634608080535,0.4345578826746563,0.0549268259278601,-0.21556106287479787,1.1449933642764871,0.8001625397574951,1.491210678803734,1.7014094208472208,1.0264149134859042,0.6356199693201157,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
251,1.4443664083043035,1.1788710050613216,1.0997788616576216,1.2708342768383711,1.2854294442855143,0.22515176157863265,0.8001625397574951,-0.9045720898933239,0.3194579580172113,0.3376566583143908,0.7279073636324973,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
69,0.6992162471296453,-0.547328983048156,-1.4660734858481017,0.6073878178222911,0.401359806123202,1.515268585701471,0.8001625397574951,0.29331929445520505,0.3194579580172113,0.9722981934367138,0.5960682289005235,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
803,2.189516569478962,1.244010627254132,1.1948104300837594,1.6679156147624936,1.5856275457175768,2.5578856565560306,2.6113831723868635,3.2880477553265273,1.7014094208472208,2.708952936833458,5.315025930102483,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
131,-0.04593391404501321,0.9834521384828901,0.767168372166139,-0.16211142088780922,-0.3752995021689228,1.0611942352171486,0.8001625397574951,0.29331929445520505,0.3194579580172113,-0.3904592114383518,0.8465625848912738,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
300,-0.7910840752196716,-0.547328983048156,-1.4660734858481017,0.26456604160208613,0.48949135883720196,-0.3380563383783164,-1.0110580928718733,-0.9045720898933239,-1.0624935048127984,-0.4642547387781568,-0.3004378872768987,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
978,-1.53623423639433,-0.5147591719517508,-1.4185577016350328,-0.4038131048416228,-0.7278257130249227,-1.1994334324301208,-1.0110580928718733,-0.9045720898933239,0.3194579580172113,-0.34126219321181517,-0.9200818205171758,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
326,1.4443664083043035,0.7554634608080535,0.4345578826746563,1.630920459055277,1.5443158803828891,0.4083405553362562,-1.0110580928718733,-0.3056263977190594,0.3194579580172113,0.01787603984190248,1.9012756627470646,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1426,0.6992162471296453,0.7880332719044587,0.48207366688772524,0.40761397700332275,0.17827681331588954,1.2034578729225371,0.8001625397574951,-0.9045720898933239,0.3194579580172113,0.27370053461989313,1.2025282486676032,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1083,-0.04593391404501321,-0.18906106098769845,-0.9433998595043432,0.4766716009901266,0.25539192194063953,-0.5037057795421249,-1.0110580928718733,-0.3056263977190594,-1.0624935048127984,-0.04116038202994152,-0.2608861468573065,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
499,-0.7910840752196716,-0.38447992756612986,0.05443160897010469,-0.35941891799296316,-0.6782517146232978,-1.1643547272424908,-1.0110580928718733,-0.9045720898933239,-1.0624935048127984,-0.8479914809451428,-0.788242685785202,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
968,-2.2813843975689885,-1.9478308601935812,-1.6086208384873086,-1.1289181567030635,-1.5375343535847976,-1.055220977769864,-1.0110580928718733,-0.3056263977190594,-2.444444967642808,-2.3091429222732818,-1.870641981934707,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
832,0.6992162471296453,1.081161571772106,0.9097157248053458,-0.28789495029234485,-0.5983824949762353,0.6227104203717732,0.8001625397574951,0.29331929445520505,0.3194579580172113,0.7066342950134158,0.7542751905788921,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
364,-0.04593391404501321,0.20177667216916442,-0.37321044894751587,-0.6455147887954363,-1.0142532593454228,0.1257620968803475,0.8001625397574951,-0.3056263977190594,0.3194579580172113,0.47540830934869344,0.13463125733861503,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
495,-1.53623423639433,-1.622132749229529,-1.6086208384873086,-0.8329569110453326,-1.2070410309072976,-1.5385275825772111,-1.0110580928718733,-1.5035177820675885,-2.444444967642808,-2.3091429222732818,-1.9101937223542993,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1359,2.189516569478962,1.1137313828685111,1.0047472932314836,2.274636168360842,2.2631388572064517,0.9169817805568918,0.8001625397574951,0.8922649866294695,1.7014094208472208,1.4790274811700415,1.7826204414882882,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
338,0.6992162471296453,0.46233516094040633,0.6721368037400011,0.3706188212961064,1.2744130001962644,0.2173564937591593,0.8001625397574951,0.8922649866294695,0.3194579580172113,-0.1444741203056685,0.29943017575358233,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
421,-0.04593391404501321,0.23434648326556964,0.767168372166139,1.3423582445389894,1.2220848907723267,0.18032897161666092,0.8001625397574951,0.8922649866294695,0.3194579580172113,0.2933793419105078,0.4642290941685496,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
164,-0.04593391404501321,-1.4267138826510974,0.9572315090184147,0.22510454218105536,-0.025527402335235417,0.20761240898481761,0.8001625397574951,-0.9045720898933239,-1.0624935048127984,-1.2464873285800897,-0.3663574546428856,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
28,-0.7910840752196716,-0.4170497386625351,0.624621019526932,1.0513296863088875,1.2165766687277018,0.17643133770692424,-1.0110580928718733,-0.3056263977190594,-1.0624935048127984,-0.7397580408467621,0.36534974311956925,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
516,-0.04593391404501321,0.07149742778354347,-0.5632735857997917,-0.9094135661735797,0.6051640217743269,1.1878673372835904,0.8001625397574951,0.29331929445520505,0.3194579580172113,0.5590432403338058,-0.28725397380370127,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
193,0.6992162471296453,1.1137313828685111,0.9572315090184147,-0.21637098259172657,-0.5185132753291728,0.38885238578757286,0.8001625397574951,0.29331929445520505,0.3194579580172113,-0.4396562296648885,-0.656403551053228,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1250,0.6992162471296453,-0.058781816602077486,-0.7533367226520674,2.5952608511567172,2.6211732901070763,1.1703279846897754,0.8001625397574951,0.8922649866294695,0.3194579580172113,0.25894142915193213,0.8465625848912738,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1326,-2.2813843975689885,-1.2638648271690713,1.0522630774445527,-1.2670334046766714,-1.0583190357024226,-1.433291467014321,-1.0110580928718733,-0.3056263977190594,-2.444444967642808,-2.3091429222732818,-1.3287831381862947,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1325,-1.53623423639433,-1.5569931270367183,-1.6086208384873086,-0.6455147887954363,-0.9977285932115477,-1.3904174940072176,-1.0110580928718733,-0.9045720898933239,-2.444444967642808,-2.3091429222732818,-1.645197061543032,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
169,1.4443664083043035,0.3646257276511906,-0.13563152788217112,1.5495311164994012,1.5112665481151393,0.3849547518778362,0.8001625397574951,-0.3056263977190594,0.3194579580172113,0.2048247091027418,0.6356199693201157,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
167,1.4443664083043035,1.2114408161577268,1.0997788616576216,1.293031370262701,1.2441177789508269,1.2697176493880606,-1.0110580928718733,0.8922649866294695,1.7014094208472208,1.5725018158004611,1.9226863382275372,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
652,0.6992162471296453,0.8531728940972692,0.5771052353138632,-0.4383419168350247,-0.6865140476902353,0.4024941044716512,0.8001625397574951,0.29331929445520505,0.3194579580172113,0.20974441092539547,0.14781517081181242,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
173,-0.04593391404501321,-0.28677049427691415,-1.08594721214355,0.7504357532235277,0.5610982454173269,-0.2873870975517397,-1.0110580928718733,-0.3056263977190594,0.3194579580172113,0.17038679634416615,-0.22133440643771435,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
518,-0.04593391404501321,0.9183125162900796,0.6721368037400011,-0.6504474762230652,-0.7608750452926727,0.558399460861118,0.8001625397574951,0.29331929445520505,0.3194579580172113,0.3770142728956201,0.4114934402757601,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1181,1.4443664083043035,1.244010627254132,1.1472946458706905,1.3374255571113607,1.3597904418879518,0.2777698193600777,0.8001625397574951,-0.9045720898933239,0.3194579580172113,0.062153356245785475,2.8043737356610854,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1149,0.6992162471296453,-1.622132749229529,0.19697896160931153,-1.0056009710123424,-0.8985805964082977,-0.05352906296753938,-1.0110580928718733,0.29331929445520505,0.3194579580172113,-0.7151595317334938,-0.485012675901662,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
912,-0.7910840752196716,-1.4592836937475027,-1.6086208384873086,-0.7145724127822403,-0.3945782793251103,-0.9636265808910521,-1.0110580928718733,-0.3056263977190594,-1.0624935048127984,-0.09527710207913184,-1.2101279169275183,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
491,-0.04593391404501321,-0.9381667162050189,-1.6086208384873086,-0.6208513516572921,-0.5515626075969228,0.13355736469982085,-1.0110580928718733,-0.9045720898933239,-1.0624935048127984,-1.1284144848364017,-0.6168518106336359,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
73,-0.7910840752196716,-0.5147591719517508,0.9097157248053458,0.06972488821074664,-0.19903639674092288,-0.8252605770954003,-1.0110580928718733,-0.3056263977190594,0.3194579580172113,0.10151097082701481,-0.459963240302587,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
